"","date","chlorophyll_fin","location"
"709",2018-06-11,1.6,"below"
"710",2018-07-12,2.3,"below"
"711",2018-08-14,1.4,"below"
"712",2018-09-18,1.2,"below"
"713",2018-10-17,1.8,"below"
"714",2018-12-05,1.2,"below"
"715",2019-02-20,2.2,"below"
"716",2019-03-20,12.6,"below"
"717",2019-04-25,4.5,"below"
"718",2019-05-14,2.8,"below"
"719",2019-06-04,1.4,"below"
"720",2019-07-01,1.4,"below"
"721",2019-08-01,1.9,"below"
"722",2019-09-18,1.2,"below"
"723",2019-10-23,1.7,"below"
"724",2019-11-13,1.4,"below"
"725",2019-12-19,1.2,"below"
"726",2015-12-10,3.8,"below"
"727",2016-07-12,5,"below"
"728",2016-12-08,1.5,"below"
"729",2016-01-05,2.7,"below"
"730",2016-05-10,38.2,"below"
"731",2016-05-06,35.9,"below"
"732",2017-07-18,5.8,"below"
"733",2019-04-16,2.5,"below"
"734",2017-05-02,3.9,"below"
"735",2017-12-14,1.1,"below"
"736",2016-05-25,2.6,"below"
"737",2017-07-17,5.8,"below"
"738",2016-06-08,7.3,"below"
"739",2016-11-09,2.4,"below"
"740",2017-02-07,9.1,"below"
"741",2017-06-20,2,"below"
"742",2016-08-09,10.9,"below"
"743",2016-10-12,1.5,"below"
"744",2017-01-11,2.6,"below"
"745",2016-02-09,1.4,"below"
"746",2016-06-09,4.7,"below"
"747",2016-03-08,5.4,"below"
"748",2017-04-27,3.2,"below"
"749",2018-10-02,1.2,"below"
"750",2017-09-14,1.9,"below"
"751",2016-06-28,27.6,"below"
"752",2018-07-26,20.4,"below"
"753",2017-06-27,3,"below"
