"","date","mean_flow_lib","mean_flow_cch","model_flow_lib","lib_flow_for_GAM","method","group","length","category","sd_flow_lib","cv_flow_lib","sd_gh_lib","sd_flow_cch","sd_gh_cch","cv_flow_cch"
"2882",2016-08-21,-1286.57291666667,1870.41666666667,-1429.91666666667,-1286.57291666667,"lib_flow",NA,NA,NA,10519.3317355737,-817.624216964543,1.10037058649874,65648.7145810209,1.05679127364519,3509.84439729228
"2883",2016-08-22,-1006.75,2746.04166666667,-1254.79166666667,-1006.75,"lib_flow",NA,NA,NA,10329.8091285163,-1026.0550413227,1.08889699543468,64834.6017344242,1.04589672345808,2361.02031959059
"2884",2016-08-23,-1162.33333333333,2043.19791666667,-1395.36041666667,-1162.33333333333,"lib_flow",NA,NA,NA,10001.6599113575,-860.481208318686,1.05511593588472,62434.6427172776,1.01373436778135,3055.73151812602
"2885",2016-08-24,-1221.21875,933.645833333333,-1617.27083333333,-1221.21875,"lib_flow",NA,NA,NA,9765.22804671127,-799.629717993706,1.05252145037941,62257.9658504126,1.01302307259708,6668.26366354971
"2886",2016-08-25,-1730.72916666667,-2574.0625,-2318.8125,-1730.72916666667,"lib_flow",NA,NA,NA,9784.50657603149,-565.34013319231,1.06341942675173,61596.8304136388,1.0122366237477,-2392.98114997747
"2887",2016-08-26,-2244.57291666667,-4740.72916666667,-2752.14583333333,-2244.57291666667,"lib_flow",NA,NA,NA,9768.21431372376,-435.192558958173,1.1381855318113,61104.4958505258,1.08220405378796,-1288.92610613928
"2888",2016-08-27,-2112.89583333333,-2827.84375,-2369.56875,-2112.89583333333,"lib_flow",NA,NA,NA,9726.46895898443,-460.338309420575,1.18867986630606,61280.1427948261,1.14759334367891,-2167.02718439893
"2889",2016-08-28,-1680.46875,-1022.34166666667,-2008.46833333333,-1680.46875,"lib_flow",NA,NA,NA,9884.80258935868,-588.216983467183,1.19131921845623,63338.9198718527,1.15478318767045,-6195.47475535929
"2890",2016-08-29,-1251.70833333333,530.3125,-1697.9375,-1251.70833333333,"lib_flow",NA,NA,NA,10216.9581711941,-816.241124159177,1.17004813216335,65126.3752448491,1.13179503444749,12280.7543184159
"2891",2016-08-30,-1109.15625,1452.08333333333,-1513.58333333333,-1109.15625,"lib_flow",NA,NA,NA,10151.0405868749,-915.203839573992,1.1746703904993,65627.7655123222,1.13381226496849,4519.55917444974
"2892",2016-08-31,-1187.046875,1244.44791666667,-1555.11041666667,-1187.046875,"lib_flow",NA,NA,NA,10067.1950334995,-848.087404593814,1.14474669208305,65474.0452979764,1.10303168744546,5261.29253149886
"2893",2016-09-01,-928.447916666667,1994.98958333333,-1405.00208333333,-928.447916666667,"lib_flow",NA,NA,NA,9996.04710806889,-1076.64058787023,1.14035208763431,64814.3005769064,1.09645804853309,3248.85408517328
"2894",2016-09-02,-934.34375,2445,-1315,-934.34375,"lib_flow",NA,NA,NA,9804.38001886281,-1049.33329075758,1.09558339822039,64051.9580209363,1.05086968473653,2619.71198449637
"2895",2016-09-03,-1304.48958333333,951.25,-1613.75,-1304.48958333333,"lib_flow",NA,NA,NA,9675.80517524842,-741.731118352363,1.04949256222133,63171.4593326015,1.00696833083183,6640.88928595022
"2896",2016-09-04,-870.270833333333,2606.1875,-1282.7625,-870.270833333333,"lib_flow",NA,NA,NA,9631.84286294183,-1106.76383650015,1.05011158554949,61827.1551048928,1.00474465967247,2372.32183428448
"2897",2016-09-05,-1183.40625,1229.0625,-1558.1875,-1183.40625,"lib_flow",NA,NA,NA,9155.05733067579,-773.619146482942,0.994133002988825,59989.1531612722,0.950110150585507,4880.88711202825
"2898",2016-09-06,-1033.54166666667,2438.95833333333,-1316.20833333333,-1033.54166666667,"lib_flow",NA,NA,NA,8772.25636330293,-848.75691481262,0.994502233774493,57652.7510363678,0.952673431279925,2363.82681280059
"2899",2016-09-07,-1044.5,1103.75,-1583.25,-1044.5,"lib_flow",NA,NA,NA,8286.60833545686,-793.356470603816,0.958686046838854,54119.320438609,0.91810067459087,4903.2226897947
"2900",2016-09-08,-1795,-2715,-2347,-1795,"lib_flow",NA,NA,NA,8296.22814993594,-462.185412252698,0.913278501123307,52884.4828898451,0.872172870107112,-1947.86308986538
"2901",2016-09-09,-1569.08333333333,-254.46875,-1854.89375,-1569.08333333333,"lib_flow",NA,NA,NA,7874.87003557475,-501.877106733746,0.969527195315397,50926.2470199391,0.936001480730573,-20012.7705346684
"2902",2016-09-10,-1943.01041666667,-3093.85416666667,-2422.77083333333,-1943.01041666667,"lib_flow",NA,NA,NA,8030.54964559816,-413.304508134083,1.00849844414461,51292.7599973615,0.967119071389668,-1657.89197661584
"2903",2016-09-11,-2628.375,-4338.86458333333,-2671.77291666667,-2628.375,"lib_flow",NA,NA,NA,8024.14121491154,-305.289055591822,1.05639796793948,52333.1237038505,1.01893166768977,-1206.14789189032
"2904",2016-09-12,-2407.48958333333,-2433.125,-2290.625,-2407.48958333333,"lib_flow",NA,NA,NA,8597.15539245369,-357.100419124154,1.07137047419763,56051.251158626,1.03343160257125,-2303.67330731573
"2905",2016-09-13,-1549.44895833333,1484.15625,-1507.16875,-1549.44895833333,"lib_flow",NA,NA,NA,8998.74952895351,-580.770956058664,1.13629800093542,59902.1582831147,1.1034381227733,4036.10861613221
"2906",2016-09-14,-1121.14583333333,1074.47916666667,-1589.10416666667,-1121.14583333333,"lib_flow",NA,NA,NA,9531.69713388927,-850.174602669674,1.14522015331612,63308.4010700133,1.10863690605792,5892.00824306474
"2907",2016-09-15,-1164.65625,468.939583333333,-1710.21208333333,-1164.65625,"lib_flow",NA,NA,NA,9699.45849256613,-832.817279138469,1.12712481601515,64731.9929129077,1.09359755579239,13803.9089071512
"2908",2016-09-16,-1332.1875,390.104166666667,-1725.97916666667,-1332.1875,"lib_flow",NA,NA,NA,9885.78634767321,-742.071693937469,1.12332014445118,65630.3457811816,1.08799856488553,16823.800253654
"2909",2016-09-17,-1149.04166666667,2319.79166666667,-1340.04166666667,-1149.04166666667,"lib_flow",NA,NA,NA,9880.28276594793,-859.871582778222,1.12411150099386,65448.8705540305,1.08377920649044,2821.32535841353
"2910",2016-09-18,-1161.67708333333,2992.8125,-1205.4375,-1161.67708333333,"lib_flow",NA,NA,NA,9691.7556353133,-834.289991113851,1.12615086844915,65676.2210224983,1.08895140592851,2194.4649396679
"2911",2016-09-19,-1251.08333333333,2310.20833333333,-1341.95833333333,-1251.08333333333,"lib_flow",NA,NA,NA,9579.12729973673,-765.666606253518,1.12253933623883,65154.7138978757,1.08709377873849,2820.29602948691
