doy1998,date,Q_upstream,Q_downstream,inundation,inund_days,inund_factor,Q_yolo,WTmwk_downstream,WTmwk_upstream,WTmwk_yolo,sradmwk_downstream,sradmwk_upstream,sradmwk_yolo
7701,2019-01-31,20700,22200,0,0,none,1423,10.530952380952385,10.471383928571433,11.825394845512443,247.53857142857143,276.77714285714285,271.2142857142857
7702,2019-02-01,19200,18800,0,0,none,799,10.729761904761915,10.757842261904761,12.218251988369586,229.56,253.65714285714284,250.57999999999998
7703,2019-02-02,18800,17800,0,0,none,807,10.968452380952385,11.055610119047614,12.409886128364386,207.30285714285714,229.89285714285714,233.46142857142857
7704,2019-02-03,23400,23600,0,0,none,1281,11.2077380952381,11.339791666666656,12.420046082949314,183.10571428571427,203.7757142857143,208.65285714285713
7705,2019-02-04,33500,34000,0,0,none,2631,11.410119047619043,11.551666666666657,12.441474654377886,170.5442857142857,188.26714285714286,194.26285714285714
7706,2019-02-05,41700,44500,0,0,none,3336,11.504166666666658,11.602946428571414,12.184331797235028,175.4257142857143,189.01,198.08714285714285
7707,2019-02-06,47100,48900,0,0,none,3703,11.457142857142843,11.450740450026155,11.720046082949315,192.63857142857142,194.38142857142856,204.36
7708,2019-02-07,47900,50700,0,0,none,3493,11.258333333333315,11.193484978456533,11.17718894009217,212.48142857142858,201.42857142857142,213.26142857142858
7709,2019-02-08,43900,48000,0,0,none,3410,10.956547619047601,10.818852710007077,10.562903225806457,218.87428571428572,211.17,220.51
7710,2019-02-09,38100,44000,0,0,none,3456,10.605357142857128,10.400901106988565,10.111797235023047,225.01714285714286,212.07857142857142,225.84571428571428
7711,2019-02-10,34300,44800,0,0,none,3476,10.225595238095226,9.965593778783587,9.742534562211981,249.88285714285715,234.42714285714285,249.13857142857142
7712,2019-02-11,32400,42200,0,0,none,3377,9.839285714285706,9.538041585778743,9.335391705069124,271.6328571428571,258.96285714285716,271.73
7713,2019-02-12,31100,38300,0,0,none,3248,9.500595238095235,9.19978915999663,9.075867895545315,265.8342857142857,251.6614285714286,264.82
7714,2019-02-13,31800,43200,0,0,none,4201,9.239285714285716,8.995796949685502,8.916344086021505,253.24142857142857,236.58428571428573,250.84142857142857
7715,2019-02-14,42300,61100,0,0,none,11711,9.145238095238097,8.902806938387535,9.023486943164361,232.0557142857143,218.57857142857142,231.00714285714287
7716,2019-02-15,56500,75100,1,1,short,31668,9.157738095238097,8.915166370268908,9.127772657450075,227.02,211.82,225.90714285714284
7717,2019-02-16,58800,86600,1,2,short,50456,9.19761904761905,8.95459884341425,9.163080874578569,239.14000000000001,223.71857142857144,225.3542857142857
7718,2019-02-17,58600,108000,1,3,short,52878,9.231547619047621,8.988145872806555,9.19093915062299,236.29142857142858,223.89714285714285,225.37285714285716
7719,2019-02-18,57400,121000,1,4,short,45061,9.172619047619051,8.9298799796515,9.21334217805913,234.76857142857145,222.88285714285715,224.68
7720,2019-02-19,55400,116000,1,5,short,29159,9.059523809523812,8.818056548343817,9.242508844725798,243.81,243.06857142857143,239.89
7721,2019-02-20,53100,102000,1,6,short,18662,8.980357142857144,8.73978014642844,9.287746939963892,253.80142857142857,258.0557142857143,252.53571428571428
7722,2019-02-21,49400,87700,1,7,short,14341,8.872619047619049,8.633253614498491,9.14488979710675,278.59000000000003,278.63,276.2657142857143
7723,2019-02-22,44900,74400,1,8,short,12028,8.719642857142858,8.48199771004547,8.915604082821035,303.56714285714287,305.0185714285714,302.2528571428571
7724,2019-02-23,40100,65500,1,9,short,10128,8.576190476190478,8.340158515597306,8.833361040149423,321.1457142857143,326.95142857142855,326.97285714285715
7725,2019-02-24,36100,56100,1,10,short,8648,8.476785714285715,8.241871604921606,8.85122445600757,325.3957142857143,330.7371428571429,329.16714285714284
7726,2019-02-25,33400,48800,1,11,short,7750,8.521428571428572,8.286012433069374,8.969872448979594,306.48571428571427,303.2314285714286,306.1957142857143
7727,2019-02-26,36600,57800,1,12,short,10642,8.672023809523811,8.434914160021183,9.093086734693879,282.31714285714287,267.3342857142857,277.54
7728,2019-02-27,53100,82400,1,13,short,27103,8.860714285714286,8.621482726992419,9.257372448979593,265.88428571428574,252.05142857142857,261.5242857142857
7729,2019-02-28,59300,101000,1,14,short,58157,9.04940476190476,8.808051293963654,9.631862244897965,254.4842857142857,239.1642857142857,249.50142857142856
7730,2019-03-01,59700,122000,1,15,short,60996,9.367261904761909,9.122333990375772,10.033392857142864,237.97285714285715,229.05714285714285,227.0885714285714
7731,2019-03-02,60800,139000,1,16,short,71903,9.707738095238094,9.458981373049422,10.372901334227766,221.63714285714286,194.9557142857143,196.88714285714286
7732,2019-03-03,60900,151000,1,17,short,75000,10.033333333333333,9.78091514634048,10.62513521569282,207.96285714285716,194.41571428571427,193.37428571428572
7733,2019-03-04,59800,155000,1,18,short,67009,10.345833333333337,10.089900943374868,10.861268025876528,203.94857142857143,218.8657142857143,206.49142857142857
7734,2019-03-05,59100,147000,1,19,short,58706,10.661309523809523,10.40182946228577,11.120790238197042,209.68428571428572,225.53142857142856,211.38714285714286
7735,2019-03-06,58900,143000,1,20,short,57194,10.92321428571429,10.660788987419357,11.3616118026938,213.76142857142858,224.18142857142857,207.5442857142857
7736,2019-03-07,60200,146000,1,21,short,65041,11.172619047619056,10.907389080671571,11.364696886538857,217.01714285714286,219.3242857142857,211.49285714285713
7737,2019-03-08,60000,147000,1,22,long,63827,11.2279761904762,10.9621237075748,11.4257404004097,220.73285714285714,229.54714285714286,233.62714285714284
7738,2019-03-09,59400,145000,1,23,long,60244,11.2184523809524,10.952706997569942,11.43976729936693,220.52857142857144,246.67,246.59571428571428
7739,2019-03-10,59300,143000,1,24,long,59491,11.17997835497837,10.914665629311685,11.466352903348657,246.76857142857142,257.29571428571427,262.08142857142855
7740,2019-03-11,59000,141000,1,25,long,57047,11.170454545454557,10.905248919306828,11.432026215613929,289.05,278.1657142857143,290.5642857142857
7741,2019-03-12,58300,138000,1,26,long,51426,11.1835497835498,10.918196895563515,11.401075431864843,322.2214285714286,319.9757142857143,327.78714285714284
7742,2019-03-13,57600,131000,1,27,long,44783,11.159145021645028,10.894066576176057,11.288825295939514,348.86285714285714,348.58714285714285,361.6642857142857
7743,2019-03-14,56700,119000,1,28,long,36813,11.043073593073599,10.779300422991858,11.2020667427067,370.1457142857143,381.5414285714286,383.3985714285714
